ranking,cancion,artista,popularidad,fecha_lanzamiento
1,Bye Bye Bye,*NSYNC,83,2000-03-21
2,Shadowplay (Acoustic) - *,The Saint Johns,0,2015-08-05
3,DISPARA ***,Nicki Nicole,68,2023-05-18
4,*67,Joyce Sanatana,0,2021-08-06
5,**NYB**,Jessie Reyez,63,2025-03-28
6,DISPARA ***,Nicki Nicole,62,2023-05-17
7,**I NEVER SAID I WAS SANE**,Jessie Reyez,58,2025-03-28
8,**CUDN’T B ME**,Jessie Reyez,62,2025-03-28
9,**GOLIATH**,Jessie Reyez,59,2025-03-28
10,**6LESSINGS (with 6LACK)**,Jessie Reyez,61,2025-03-28
11,**PSILOCYBIN & DAISIES**,Jessie Reyez,57,2025-03-28
12,**PALO SANTO**,Jessie Reyez,56,2025-03-28
13,**BEGGIN 4 LUV**,Jessie Reyez,59,2025-03-28
14,**GUESS IMU**,Jessie Reyez,55,2025-03-28
15,**HEAD N HEADACHES (with LIL YACHTY)**,Jessie Reyez,57,2025-03-28
16,**JEANS (with MIGUEL)**,Jessie Reyez,55,2025-03-28
17,**NIGHTS WE'LL NEVER HAVE**,Jessie Reyez,55,2025-03-28
18,**RIDIN (with LIL WAYNE)**,Jessie Reyez,55,2025-03-28
19,**BROTHER (with DEYAZ)**,Jessie Reyez,53,2025-03-28
20,**TORONTO SHORDIE**,Jessie Reyez,53,2025-03-28
21,*****JUST LIKE THAT (with ARI LENNOX)*****,Jessie Reyez,54,2025-03-28
22,*****FREE*****,Jessie Reyez,53,2025-03-28
23,**L.O.Y.L.**,Jessie Reyez,53,2025-03-28
24,**BEEN ABOUTA YEAR**,Jessie Reyez,53,2025-03-28
25,*****SHUT UP (with BIG SEAN)*****,Jessie Reyez,52,2025-03-28
26,**GOAT NOTE**,Jessie Reyez,9,2025-03-28
27,Bye Bye Bye,*NSYNC,74,2000-03-21
28,＊〜アスタリスク〜,ORANGE RANGE,61,2005
29,It's Gonna Be Me,*NSYNC,74,2000-03-21
30,* (Introduccion),Hillsong en Español,41,2006
31,**GOLIATH**,Jessie Reyez,62,2025-01-31
32,***Flawless (feat. Chimamanda Ngozi Adichie),Beyoncé,65,2014-11-24
33,**PSILOCYBIN & DAISIES**,Jessie Reyez,59,2025-03-07
34,Tearin' up My Heart - Radio Edit,*NSYNC,68,1997
35,*Equip Sunglasses*,Hot Mulligan,62,2020-03-06
36,** (Repeticion),Hillsong en Español,36,2006
37,Better Place (From TROLLS Band Together),*NSYNC,67,2023-09-29
38,*** (Selah),Hillsong en Español,35,2006
39,This I Promise You,*NSYNC,68,2000-03-21
40,Pop,*NSYNC,60,2001-07-23
41,I Want You Back - Radio Edit,*NSYNC,65,1997
42,"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",Eric Carmen,80,1997
43,Tearin' up My Heart - Radio Edit,*NSYNC,63,1997-05-26
44,**** (Selah),Hillsong en Español,33,2006
45,It's Gonna Be Me,*NSYNC,60,2000-03-21
46,"***ngo de Cheve - Banda Sonora de la Película: ""Los Jefes""",Millonario,24,2016-06-17
47,*NSTYNCT (feat. Skeme & OG Maco),The Neighbourhood,41,2014-11-28
48,*Sobs Quietly*,Mom Jeans.,63,2016-07-03
49,Yo Te Voy A Amar - Spanish Radio Edit,*NSYNC,49,2005
50,All By Myself,Eric Carmen,65,1975-01-01
